work_year,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,experience_label,employment_label,company_size_label,work_setting,salary_band,is_us_company,exp_order
2020,Data Scientist,79833,DE,0,DE,Mid-Level,Full-Time,Large,On-Site,50K-100K,0,2
2020,Machine Learning Scientist,260000,JP,0,JP,Senior,Full-Time,Small,On-Site,200K+,0,3
2020,Big Data Engineer,109024,GB,50,GB,Senior,Full-Time,Medium,Hybrid,100K-150K,0,3
2020,Product Data Analyst,20000,HN,0,HN,Mid-Level,Full-Time,Small,On-Site,<50K,0,2
2020,Machine Learning Engineer,150000,US,50,US,Senior,Full-Time,Large,Hybrid,100K-150K,1,3
2020,Data Analyst,72000,US,100,US,Entry-Level,Full-Time,Large,Remote,50K-100K,1,1
2020,Lead Data Scientist,190000,US,100,US,Senior,Full-Time,Small,Remote,150K-200K,1,3
2020,Data Scientist,35735,HU,50,HU,Mid-Level,Full-Time,Large,Hybrid,<50K,0,2
2020,Business Data Analyst,135000,US,100,US,Mid-Level,Full-Time,Large,Remote,100K-150K,1,2
2020,Lead Data Engineer,125000,NZ,50,NZ,Senior,Full-Time,Small,Hybrid,100K-150K,0,3
2020,Data Scientist,51321,FR,0,FR,Entry-Level,Full-Time,Small,On-Site,50K-100K,0,1
2020,Data Scientist,40481,IN,0,IN,Mid-Level,Full-Time,Large,On-Site,<50K,0,2
2020,Data Scientist,39916,FR,0,FR,Entry-Level,Full-Time,Medium,On-Site,<50K,0,1
2020,Lead Data Analyst,87000,US,100,US,Mid-Level,Full-Time,Large,Remote,50K-100K,1,2
2020,Data Analyst,85000,US,100,US,Mid-Level,Full-Time,Large,Remote,50K-100K,1,2
2020,Data Analyst,8000,PK,50,PK,Mid-Level,Full-Time,Large,Hybrid,<50K,0,2
2020,Data Engineer,41689,JP,100,JP,Entry-Level,Full-Time,Small,Remote,<50K,0,1
2020,Big Data Engineer,114047,PL,100,GB,Senior,Full-Time,Small,Remote,100K-150K,0,3
2020,Data Science Consultant,5707,IN,50,IN,Entry-Level,Full-Time,Medium,Hybrid,<50K,0,1
2020,Lead Data Engineer,56000,PT,100,US,Mid-Level,Full-Time,Medium,Remote,50K-100K,1,2
2020,Machine Learning Engineer,43331,CN,0,CN,Mid-Level,Full-Time,Medium,On-Site,<50K,0,2
2020,Product Data Analyst,6072,IN,100,IN,Mid-Level,Full-Time,Large,Remote,<50K,0,2
2020,Data Engineer,47899,GR,50,GR,Senior,Full-Time,Large,Hybrid,<50K,0,3
2020,BI Data Analyst,98000,US,0,US,Mid-Level,Full-Time,Medium,On-Site,50K-100K,1,2
2020,Lead Data Scientist,115000,AE,0,AE,Mid-Level,Full-Time,Large,On-Site,100K-150K,0,2
2020,Director of Data Science,325000,US,100,US,Executive,Full-Time,Large,Remote,200K+,1,4
2020,Research Scientist,42000,NL,50,NL,Entry-Level,Full-Time,Large,Hybrid,<50K,0,1
2020,Data Engineer,33511,MX,0,MX,Senior,Full-Time,Small,On-Site,<50K,0,3
2020,Business Data Analyst,100000,US,100,US,Entry-Level,Contract,Large,Remote,50K-100K,1,1
2020,Machine Learning Manager,117104,CA,50,CA,Senior,Full-Time,Large,Hybrid,100K-150K,0,3
2020,Data Engineering Manager,59303,DE,100,DE,Mid-Level,Full-Time,Small,Remote,50K-100K,0,2
2020,Big Data Engineer,70000,US,100,US,Entry-Level,Full-Time,Large,Remote,50K-100K,1,1
2020,Data Scientist,68428,GR,100,US,Senior,Full-Time,Large,Remote,50K-100K,1,3
